country,year,enep,disprop,pr,plurality,closeness,growth,lnincome,pec1,pec20,vote_pec,smallpec,largepec,turnout,year2,enep_bw,disprop_bw,pr_bw,plurality_bw,closeness_bw,growth_bw,lnincome_bw,pec1_bw,pec20_bw,vote_pec_bw,smallpec_bw,largepec_bw,turnout_bw,enep_wi,disprop_wi,pr_wi,plurality_wi,closeness_wi,growth_wi,lnincome_wi,pec1_wi,pec20_wi,vote_pec_wi,smallpec_wi,largepec_wi,turnout_wi
NewZealand,1984,2.99000000953674,15.3999996185303,0,1,7.09000015258789,4.017910214300002,9.335036277770996,0,0,0,0,0,0.936999969482422,19840,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.15607140745435721,5.859068874631632,-0.42857142857142855,0,-0.5357139968872122,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.08153569575718478
NewZealand,1987,2.33999991416931,8.89000034332275,0,1,3.93999862670898,0.6583518304394715,9.364302635192871,0,0,0,0,0,0.8909999847412109,19870,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.8060715028217871,-0.650930400575918,-0.42857142857142855,0,-3.685715522766122,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.03553571101597364
NewZealand,1990,2.77999997138977,17.2399997711182,0,1,12.7000007629395,-1.414871539889674,9.326211929321289,1,0,0.051999998092651406,1,0,0.8519999694824221,19900,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.3660714456013272,7.699069027219531,-0.42857142857142855,0,5.074286613464397,NA,NA,0.7857142857142857,-0.14285714285714285,-0.019414288575308622,0.9285714285714286,-0.14285714285714285,-0.003464304242815186
NewZealand,1993,3.52500009536743,18.1900005340576,0,1,0.369998931884766,5.167448061841753,9.35073184967041,0,0,0,0,0,0.8519999694824221,19930,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,0.3789286783763326,8.649069790158931,-0.42857142857142855,0,-7.255715217590336,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,-0.003464304242815186
NewZealand,1996,4.3899998664856,3.4300000667572,1,1,5.59999847412109,1.973197299076432,9.436230659484863,0,0,0,0,0,0.883000030517578,19960,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,1.2439284494945029,-6.110930677141468,0.5714285714285714,0,-2.0257156753540118,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.02753575679234077
NewZealand,1999,3.85999989509583,2.97000002861023,1,1,8.20000076293945,4.623184695830119,9.481206893920898,1,1,0.464000015258789,0,1,0.847999954223633,19990,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,0.7139284781047328,-6.570930715288439,0.5714285714285714,0,0.5742866134643476,NA,NA,0.7857142857142857,0.8571428571428572,0.39258572859082896,-0.07142857142857142,0.8571428571428572,-0.007464319501604311
NewZealand,2002,4.17000007629395,2.36999988555908,1,1,20.3999996185303,3.106065771072622,9.561149597167969,0,0,0,0,0,0.77,20020,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,1.0239286593028525,-7.170930858339588,0.5714285714285714,0,12.774285469055197,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,-0.08546427372523724
NewZealand,2005,3.03,1.38,1,1,2,2.143153522577478,9.627180099487305,0,0,0,0,0,0.8092,20050,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.11607141699109746,-8.160930743898668,0.5714285714285714,0,-5.625714149475102,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,-0.046264273725237226
NewZealand,2008,3.07,4.16,1,1,10.93,-2.477302526731748,9.61655044555664,0,0,0,0,0,0.8992,20080,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.07607141699109743,-5.380930743898668,0.5714285714285714,0,3.3042858505248978,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.04373572627476274
NewZealand,2011,3.15,2.4,1,1,19.83,NA,NA,1,1,0.4838,0,1,0.7421,20110,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,0.003928583008902642,-7.140930743898668,0.5714285714285714,0,12.204285850524897,NA,NA,0.7857142857142857,0.8571428571428572,0.41238571333204,-0.07142857142857142,0.8571428571428572,-0.11336427372523727
Norway,1973,4.63000011444092,4.98196792602539,1,0,17.8999996185303,3.7504929950707577,9.736865997314453,1,0,0.11199999809265099,1,0,0.801999969482422,19730,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,-0.02199989891052123,0.9078591957092268,0,0,4.82300016021731,1.5767567771208575,-0.5195732116699219,0.09999999999999998,-0.8,-0.2596099992752079,0.6,-0.5,0.007829960327148666
Norway,1977,3.84999990463257,5.92911911010742,1,0,17.4999980926514,3.699932910331995,9.899601936340332,1,1,0.45779998779296904,0,1,0.8290000152587891,19770,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,-0.8020001087188708,1.8550103797912572,0,0,4.422998634338411,1.5261966923820949,-0.35683727264404297,0.09999999999999998,0.19999999999999996,0.08618999042511016,-0.4,0.5,0.03483000610351572
Norway,1981,3.92000007629395,4.94000005722046,1,0,5.5,1.1987399162382388,10.025609016418457,1,1,0.477700004577637,0,1,0.82,19810,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,-0.7319999370574908,0.8658913269042969,0,0,-7.576999458312988,-0.9749963017116614,-0.23083019256591797,0.09999999999999998,0.19999999999999996,0.10609000720977813,-0.4,0.5,0.02582999084472659
Norway,1985,3.63000011444092,4.75,1,0,10.3799991607666,5.03899296246945,10.161422729492188,1,1,0.45279998779296904,0,1,0.84,19850,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,-1.0219998989105208,0.6758912696838371,0,0,-2.6970002975463885,2.86525674451955,-0.0950164794921875,0.09999999999999998,0.19999999999999996,0.08118999042511016,-0.4,0.5,0.04582999084472661
Norway,1989,4.84000015258789,3.67000007629395,1,0,12.0999984741211,0.5814664554538496,10.209090232849121,1,1,0.37189998626709,1,0,0.832000045776367,19890,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,0.18800013923644876,-0.40410865402221274,0,0,-0.9770009841918874,-1.5922697624960507,-0.047348976135253906,0.09999999999999998,0.19999999999999996,2.899888992310973e-4,0.6,-0.5,0.03783003662109363
Norway,1993,4.73999977111816,3.95000004768372,1,0,19.9000015258789,2.1765828722003704,10.300935745239258,0,0,0,0,0,0.758000030517578,19930,4.652000013351441,4.074108730316163,1,0,13.076999458312988,2.1737362179499002,10.256439208984375,0.9,0.8,0.3716099973678589,0.4,0.5,0.7941700091552734,0.08799975776671864,-0.12410868263244312,0,0,6.823002067565911,0.0028466542504701486,0.04449653625488281,-0.9,-0.8,-0.3716099973678589,-0.4,-0.5,-0.03616997863769533
